title, category, address, phone, email, description
American Red Cross of Florida’s  Space Coast, DISASTER RELIEF, , 386-226-1400, , Post disaster services:  shelter. food.  medical. and individual and family  resource assistance.
, DISASTER RELIEF, , 800-621-3362, , FEMA Help Line  How to apply and information about  account.       TTY 800-462-7585   711 or VRS
, DISASTER RELIEF, , 386-315-7155, projecthopeflagler@lsfnet.org, PROJECT H.O.P.E. (Helping Our  People in Emergencies)  Crisis counseling.            Access to Care Line:  877-229-9098
, DOMESTIC VIOLENCE, 4721 E. Moody Blvd  Bunnell. FL 32110, 386-437-0026, , Break the Cycle  Batterers intervention; couples  counseling; anger management
Family Law Division. Flagler  County, DOMESTIC VIOLENCE, , 386-313-4490, , Clerk of the Circuit  Court  If you are seeking an injunction against  domestic violence. repeat violence.  dating violence or sexual violence. call  this office for information (call 911 for  emergencies)
Family Life Center, DOMESTIC VIOLENCE, , 386-437-7610, , Emergency shelter. counseling. court  advocacy. safety planning. support  groups; sexual assault victim advocacy.     24/7 crisis hotline:  386-437-3505
Injunction for Protection, DOMESTIC VIOLENCE, , , , Project – Family Life Center  Florida licensed attorney provides free  (civil) legal assistance to victims of  domestic. dating. sexual violence and  stalking.   Marcellina Spigner   (386)437-7747  Ext 415
, DOMESTIC VIOLENCE, , 800-787-3224, , **National Domestic Violence  Hotline**  24/7 confidential line to empower  victims of domestic violence; resources  for people who identify as abusive &  who want to change.  TheHotline.org  1-800-799-SAFE (7233)  For Deaf or hard of hearing. use  TTY 1-
Sally’s Safe Haven Visitation  Center, DOMESTIC VIOLENCE, 103 E. Moody Blvd  Bunnell. FL 32110, 386-263-8771, , Supervised visits & monitored  exchange of children in cases involving  violence. sexual assault & stalking.
Career Online High School, EDUCATION, 2500 Palm Coast Pkwy NW  Palm Coast. FL 32137, 386-446-6763, , Earn an accredited high school diploma  & career certificate online.  Limited  scholarships available.
Flagler Technical, EDUCATION, , 386-447-4345, thomast@flaglerschools.com, Institute (FTI)  GED. Adult high school. English 2nd  language. career & trade programs.   Flagler County Schools:  http://fti.flaglerschools.com
Fresh Start, EDUCATION, 3000 Palm Coast Pkwy SE. Bldg 2  Palm Coast. FL 32137, 386-506-4377, , Program at Daytona  State College - Free four week class  for adults who want to return to work  or enter career program at DSC.
, EDUCATION, , 386-437-7526, , Road to Success  Education & training program for 16- 21 year old out of school youth.  GED/Diploma; college prep & job  coaching.     x 1791
, EMPLOYMENT, 20 Airport Rd. Suite E  Palm Coast. FL 32164, 386-586-5169, , CareerSource Flagler Volusia  Job search tools. employment  workshops. resume assistance.  unemployment filing. veteran  employment services. business  services     www.careersourcefv.com
Labor Finders International Inc., EMPLOYMENT, 4867 Palm Coast Pkwy NW. Unit 3  Palm Coast. FL 32137, 386-437-0126, , Matches job seekers with trusted  client partners. providing flexible work  options in a variety of temporary and  permanent opportunities.  www.laborfinders.com
Senior Community Service  Employment, EMPLOYMENT, , 352-371-9510, , Program (SCSEP)   Paid training program for unemployed.  low income people 55 years old or  older.
Northeast Florida Community  Action, EMPLOYMENT, 703 E Moody Blvd. Ste 4  Bunnell. FL 32110, , , Agency (NFCAA)  Family self-sufficiency program.  employment search & preparation;  vocational financial aid. financial  assistance.       (700 Professional Building)  Office: 386 313-2506  Fax: 386 313-2864
Vocational, EMPLOYMENT, , 386-615-6111, , Rehabilitation   Testing. retraining. job coaching and  medical assistance.
, FINANCIAL PLANNING &  TAX PREPARATION, , 386-313-4048, , AARP Free Tax Preparation    Free tax preparation by appointment  at locations in Flagler County  1-
, FINANCIAL PLANNING &  TAX PREPARATION, 1834 Mason Avenue  Daytona Beach. FL 32117, 800-644-6125, , Mid-Florida Housing  Partnership    Free credit counseling and workshops  designed to improve financial status  needed to purchase a home       1-
Volunteer Income Tax, FINANCIAL PLANNING &  TAX PREPARATION, , 386-253-0564, , Assistance (VITA)    Free tax preparation by appointment  at locations in Flagler County  1-
Bread of, FOOD: COMMUNITY  SUPPERS, , 386-439-2791, , Life through Santa  Maria Del Mar Catholic Church    Free hot supper served every   Monday from 5:00 pm - 6:30 pm   in the Church Hall.    915 N Central Ave.  Flagler Beach. FL 32136
First United Methodist Church  of Bunnell, FOOD: COMMUNITY  SUPPERS, 205 N. Pine St  Bunnell. FL 32110, 386-437-3258, , Free hot supper served every  Wednesday at 5:30 pm
, FOOD: COMMUNITY  SUPPERS, 30 pm  2200 N State Street  Bunnell. FL 32110, 386-437-9915, , A Hand Up Meal at the Church  on the Rock  Free meal to anyone HOMELESS  served every Thursday at 6:
Palm Coast United Methodist, FOOD: COMMUNITY  SUPPERS, 5200 Belle Terre Pkwy  Palm Coast. FL 32137, 386-445-1600, , Free community meal to anyone that is  homeless or struggling to feed  themselves or their children.    Saturday 5:30 pm in the Fellowship  Hall.  (Across from Library)
Dominion Fellowship, FOOD: PANTRIES, , 386-437-7088, DominionFlagler@gmail.com, Church   SUNDAY @ 10:00 am Supplemental  food pantry. ID is Required.     dominionflagler.org/dominion- cares.htm      386-237-4667
First Baptist Church of Bunnell  Hope House Food, FOOD: PANTRIES, 2301 Commerce Blvd  Bunnell. FL 32110, 386-437-3364, , Pantry  TUE & Wed 10:00 am -1:00 pm  Supplemental food.
First United Methodist Church  of Bunnell, FOOD: PANTRIES, , 386-437-3258, , Supplemental food pantry.  Wed 9:00 am – 11:00 am  Fri 6:00 pm – 7:00 pm  205 N. Pine St. Bunnell. FL 32110
Flagler Beach First Baptist  Church, FOOD: PANTRIES, 300 N. Central Ave  Flagler Beach. FL 32136, 386-439-3834, , Tues & Wed 10:00 am – 12:00 pm     Supplemental food pantry.
Flagler Beach United  Methodist, FOOD: PANTRIES, 1520 S. Daytona Ave  Flagler Beach. FL 32136, 386-439-2160, fbumc@cfl.rr.com, Church     Tues–Thur 10:00 am – 12:00 pm   Supplemental food pantry.
Grace Community Food Pantry, FOOD: PANTRIES, 245 Education Way  Bunnell. FL 32110, 386-586-2653, , Sat 10:00 am – 1:00 pm   & Sun 1:00 pm – 4:00 pm    Supplemental food.
Grace Community Food Pantry, FOOD: PANTRIES, , 386-586-2653, , Every 2nd & 4th Saturday 10 am – 1 pm  Supplemental food.    Hidden Trails Community Center   6108 Mahogany Blvd  Bunnell (Daytona North). FL 32110
Grace Community Food Pantry, FOOD: PANTRIES, , 386-586-2653, , Tue 11:00 am – 1:00 pm  Supplemental food.    Hammock Community Church  5299 Oceanshore Blvd.  Palm Coast. FL 32137
Grace Presbyterian Church, FOOD: PANTRIES, , 386-437-8363, , Must call to request assistance  (Local #’s only)  Distributes food and toiletries to  families in need.   Palm Coast. FL
Lifecoast Food Pantry    Appointment, FOOD: PANTRIES, , 386-237-0173, lifecoastpantry@gmail.com, Only  Food—client choice.
Salvation, FOOD: PANTRIES, 700 E. Moody Blvd  Bunnell. FL 32110, 386-437-0029, , Army  Monday-Thurs   9:00 AM – 2:00 PM  Supplemental food pantry.
, FOOD: PANTRIES, , 386-437-5098, , St. Ann’s Pantry:  St. Mary’s  Catholic Church  1st & 3rd Wed 10:00 am – 12:00 pm  Supplemental food pantry.  ID  Required.  89 St. Mary’s Place   (Off Old Dixie Hwy)  Bunnell. FL 32110
St. Elizabeth Ann Seton  Catholic Church  Mon., FOOD: PANTRIES, 4600 Belle Terre Pkwy   Palm Coast. FL 32164, 386-597-3359, , Wed & Fri 10:00 am – 1:00 pm  Supplemental food pantry. One help  every 2 months.
St., FOOD: PANTRIES, 400 S. Daytona Ave  Flagler Beach. FL 32136, 386-693-4806, , Vincent de Paul Society  Mon. Wed & Fri 11:00 am – 2:00 pm  Supplemental food pantry.
Grace Community Food, FOOD: MOBILE  PANTRIES, , 386-586-2653, , Pantry    Delivers: Even Tuesdays of the Month  Supplemental mobile food pantry  ONLY for homebound/disabled  individuals.    Must call to get on the list:
Precious Hearts Foundation Inc., FOOD: MOBILE  PANTRIES, , 877-731-2210, , Delivers Tuesdays: 11:00 am – 1:00 pm  Supplemental mobile food pantry.  ID. application and interview required.  Apply online at:  www.preciousheartsfoundation.org/m obilefoodpantry.htm
Department of Children and, FOOD: OTHER  RESOURCES, , 866-762-2237, , Families (DCF)  Food Stamp applications.  www.myflorida.com/accessflorida
George Wickline Senior, FOOD: OTHER  RESOURCES, , 386-586-2324, , Center    Monday-Friday   9:30 AM – 1:00 PM  Meals served on site to seniors 60 and  older.  Enrollment and prior day  reservation required.    800 S. Daytona Ave.  Flagler Beach. FL 32136    x 3623    386-517-2435
, FOOD: OTHER  RESOURCES, , 386-437-7294, , WIC Program  Supplemental food program for  pregnant women. infants and children  5 & under.  Breastfeeding. nutrition  education and counseling.  Walk-ins  welcome Thursdays  301 Dr. Carter Blvd  Bunnell. FL 32110
, HOUSING, , 386-446-6400, , Income based or lower cost rentals in   Flagler County.   Beach Village:     Bella Vista: Seniors. Disabilities  910 Gunby Blvd. Bunnell 386-437-6923  Dead Lake Cabins: W CR 2006. Bunnell   386-338-4330  Gambia Woods:  309 Elm Ave. Bunnell     386-437-2356  Madison Green:  1 Madison Green Cir.   Palm Coast  386-586-4944  Palm Pointe:  4600 E. Moody Blvd.    Bunnell  386-263-3052  Lakewood II:  4600 E. Moody Blvd.  Bunnell  386-263-3052  Pinecreek Place:  Seniors. Disabilities  2501 Leslie St. Flagler Beach    386-439-6115  Pineview Apartments:  401 Hibiscus     Ave. Bunnell 954-309-5119
Habitat for Humanity, HOUSING, , 386-586-6180, , Home ownership opportunity for   families via building or rehabilitating  homes.  2 W. Moody Blvd  P.O. Box 187 Bunnell. FL 32110
Housing Authority, HOUSING, , 386-437-3221, , Section 8 vouchers and public housing.   414 S. Bacher St. Bunnell. FL 32110
Family Matters of Flagler. Inc., HOUSING, , 386-264-6031, , Family and senior aid and advocacy;  assistance information and referrals;  housing needs.
Mid Florida Housing  Partnership. Inc, HOUSING, , 386-274-4441, Myonkosy_mfhp@bellsouth.net, Affordable houses for rent in Palm  Coast.   1834 Mason Ave.  Dayton Beach. FL 32117      Marcella Yonkosky     x 302
State Housing Initiative, HOUSING, 1769 E. Moody Blvd.  Bunnell. FL 32110, 386-313-4037, rreodica@flaglercounty.org, Partnership (SHIP)  Down payment. closing cost. and  foreclosure prevention assistance;  rehab projects.
St. Johns Housing Partnership, HOUSING, , 904-819-1266, , Housing counseling/screening for  foreclosure prevention for Flagler  homeowners who lost income through  unemployment. death. disability or  divorce.    93 Orange St. St. Augustine. FL 32084
, HOUSING, , 352-732-9796, , USDA Rural Development  Grant  Assists rural western Flagler County  residents in home ownership loans and  home repair grants/loans.    2441 NE 3rd St. Ste 204-1  Ocala. FL 34470     x 6
Family Matters of Flagler. Inc., INFORMATION, , 386-264-6031, , Family and senior aid and advocacy;  assistance information and referrals;  group transportation and housing  needs.
, INFORMATION, , 386-253-0564, , 211 United Way Volusia Flagler  Information and referral to community  services    2-1-1 or
Community Legal Services of  Mid Florida, LEGAL, 444 Seabreeze Blvd. Ste 150  Daytona Beach. FL 32118, 386-255-6573, , Free legal aid to income eligible people  to help gain access to food. shelter.  health care. safety and education.      Hours 9 am – 4 pm. Closed 12 – 1 pm     Fax:  386-257-6824  Helpline: 800-405-1417
Florida Senior Legal Help Line, LEGAL, , 888-895-7873, , Free legal advice to Florida residents  60 and older for civil legal problems.
Injunction for Protection, LEGAL, , , , Project – Family Life Center  Florida licensed attorney provides free  (civil) legal assistance to victims of  domestic. dating. sexual violence and  stalking.   Marcellina Spigner  (386)437-7747  Ext 415
, LEGAL, , 866-897-6970, hallisky.davis@gmail.com, Mid-Florida Housing  Partnership Inc.  Sponsors a free award winning. legal  aid clinic (divorce. child-support.  criminal. landlord-tenant. and more).  Most Tuesdays from 3 pm - 6pm.  *Reservation Required* – instructions  at http://www.mfhp.org/free-legal- advice-clinic/  1834 Mason Ave.  Daytona Beach. FL 32117     Fax: 386-274-1415  e-mail:
, LEGAL, 160 Cypress Point Pkwy. Ste 107  Palm Coast. FL 32164, 386-586-2634, , Seniors vs. Crime  Assists seniors targeted for specific  crimes based on their age.  Free to all  seniors.
Victims Advocacy, LEGAL, , 386-586-4846, , Provides assistance to all victims of  crime.  Flagler County Sheriff’s Office  Bunnell. FL 32110             386-586-4847  386-586-4848
Victims Services Flagler Beach  Police Dept., LEGAL, 204 S. Flagler Ave   Flagler Beach. FL 32136, 386-517-2020, dkearney@fbpd.org, Provides criminal justice  support/advocacy. referral.  compensation assistance. safety  planning. and crisis counseling to crime  victims.   P.O. Box 36.                 386-517-2036
American Breast Cancer  Foundation, MEDICAL, , 844-219-2223, , Assistance for breast exams.  mammograms. ultrasounds. surgical  consults & biopsies www.abcf.org
American Cancer, MEDICAL, , 386-586-2084, , Society  Wigs. head coverings. mastectomy  bras. prostheses. and info on ACS  programs for cancer patients. Cancer  Resource Center of Florida Hospital  Flagler.
Automated Health Systems, MEDICAL, , 904-631-4964, , Choice counseling specialist informs  and educates on various Medicaid  plans.    Linda Tate:
Azalea Health, MEDICAL, , 386-246-3954, , Diagnosis and treatment of illness and  minor injuries.  Free childhood  immunizations. physicals for work.  school. Income-based sliding scale.   www.azahealth.org   460 Palm Coast Pkwy SW. Ste. 5  Palm Coast. FL 32137
Department of Children and, MEDICAL, , 866-762-2237, , Families (DCF)  Medicaid and Medicaid Share of Cost  assistance for eligible families. seniors  and people with disabilities.   www.myflorida.com/accessflorida        904-723-2079  Fax:  866-619-5720  Fax for bill tracking for SOC:  386-226-7851
Diabetes, MEDICAL, 60 Memorial Medical Pkwy  Palm Coast. FL 32164, 386-231-3178, , Classes & Support  Groups  Free 3 week classes concluding with an  individual nutrition appt.  AdventHealth
, MEDICAL, , , , Easterseals Volusia/Flagler:  Pediatric evaluation. audiology and  therapy; services for deaf and hard of  hearing; Autism Center of Excellence;  equipment loan program. and sickle  cell program.      (386) 944-7818      (386) 944-7833   Therapy                  (386) 944-7806  DHHS Svc
Epilepsy Foundation of Florida, MEDICAL, , 877-553-7453, , Individualized case management.  medical services. FREE educational  presentations and LOCAL support  groups  1-      386-314-0904
Family Life Center, MEDICAL, , 386-437-7747, , Free confidential forensic rape exams.  counseling for domestic violence  victims and their families.   www.familylifecenterflagler.com.      24 hr hotline:  386-437-3505
Flagler County Free Clinic, MEDICAL, 700 E. Moody Blvd.   Bunnell. FL 32110, 386-437-3091, , Free limited medical and dental care to  uninsured low income people.
Flagler County Health Dept., MEDICAL, , 386-437-7350, , Child immunizations. flu shots. family  planning. insulin & epilepsy programs.  disease testing. HIV Ryan White  program. dental for Medicaid clients.   301 Dr. Carter Blvd. Bunnell. FL 32110
Flagler County Health  Department Office of Vital  Statistics, MEDICAL, , 386-586-2164, , Birth and death certificates.  200 Dr. Carter Blvd. Bunnell. FL 32110
Flagler County Human, MEDICAL, 1000 Belle Terre Boulevard  Palm Coast. FL 32164, 386-586-2324, , Services   Medical. Rx. & emergency dental  assistance to eligible Flagler County  residents.          X 3622
Florida, MEDICAL, , 386-437-7350, , Breast & Cervical  Cancer Screening Program  Free pap smears. pelvic exam and  breast exam/mammogram for income- eligible. uninsured women ages 50-64.   Flagler County Health Dept.     x 7086
Florida Rx Card, MEDICAL, , 904-502-5879, , Free statewide prescription assistance  program open to FL residents.  Serving  under & uninsured.  HIPPAA compliant.   Penelope Geismar
, MEDICAL, , 386-425-3201, , Halifax Health-Hospice    Dignified comfort and compassion for  patients and families facing end of life  issues. Pain. psychological. emotional.  and spiritual support and  management.    7 Florida Park Drive Ste A.  Palm Coast. FL 32127
Haven Hospice, MEDICAL, , 386-206-9730, , Specialist manage symptoms. pain &  care for needs of individuals and their  families ready for hospice.       1-800-HOSPICE
, MEDICAL, , 386-503-7219, LRMurphy@magellanhealth.com, NAMI Volusia/Flagler (National  Alliance on Mental Health)   Education & support groups for family.  caregivers. friends.
Pierson Medical Center, MEDICAL, , 386-749-9449, , Medical care on a sliding fee schedule.   216 N. Frederick. St. Pierson. FL 32180
Provider Medical, MEDICAL, , 386-793-6628, , Management   $55 office visits for medical care.  4750 E. Moody Blvd. Ste 231   Bunnell. FL 32110
Rural Partnership for Healthy  Kids, MEDICAL, , 386-312-2218, , Connects children and families to  affordable health insurance.  Free or  low cost insurance for eligible teens  and kids.    3841 Reid St. Palatka. FL 32177    Office:       Cell:  386-449-9587
Tobacco Free Flagler County, MEDICAL, , 877-784-8486, twilliams@civcomweb.com, Free tobacco cessation classes and free  nicotine replacement therapy.     Call Terry Williams at
Vocational, MEDICAL, , 386-615-6111, , Rehabilitation  Testing. retraining. job coaching and  medical assistance.  By appointment  only.
The Health Institute, MEDICAL, 145 Cypress Point Parkway. Suite 105  Palm Coast. FL 32164, 386-246-7596, , Outpatient assessments. evaluations.  counseling and medical treatment.  Random onsite drug and alcohol  screens.
Adapt Behavioral Services, MENTAL HEALTH AND  COUNSELING, , 386-898-5003, , Individual & family therapy; parent  training; behavioral analysis.  Medicaid  and private pay.  www.adapt-fl.com
Alpha Women’s, MENTAL HEALTH AND  COUNSELING, 5    Bunnell. FL 32110, 386-586-0210, , Center  1 to 1 consult and classes; free  pregnancy tests; info on options;  parenting classes; abortion recovery &  support.   4751 E. Moody Blvd.. Ste    www.alphapregnancycenter.org
Bereavement Support, MENTAL HEALTH AND  COUNSELING, , 386-871-5371, Lambrosia7@gmail.com, Group  with Lois Ambrosia  Support groups for loss of loved one.  drug or alcohol issues. loss of job. etc.  Santa Maria Del Mar   (The Learning Center)  807 N. Flagler Ave.   Flagler Beach. FL 32136.
Bereavement, MENTAL HEALTH AND  COUNSELING, , 386-322-4738, , Support at  Halifax Health – Hospice  Free group & individual counseling.  Reflections-social and support group  for adults and families; New  Beginnings—7 week support &  education group; Traumatic Loss- support for adults & families dealing  with traumatic death.          386-258-3237
Big Bear Behavioral Health. Inc., MENTAL HEALTH AND  COUNSELING, , 800-840-2528, , In home/School.  All ages individual  and family therapy. Adolescents &  children’s behavioral and  developmental delays.  Medicaid and  private pay.  www.bigbearcounseling.org  1-  Ext. 1
, MENTAL HEALTH AND  COUNSELING, 4721 E. Moody Blvd Ste 107  Bunnell. FL 32110, 386-437-0026, Breakthecycle12@gmail.com, Break the Cycle  Anger management and batterers  intervention; mental health and  substance abuse evaluations.
Coastal Mental Health  Mental Health, MENTAL HEALTH AND  COUNSELING, 31 Lupi Court. Ste 210  Palm Coast. FL 32137, 386-304-7600, , Treatment       Ext 226
Community Bereavement  Haven Hospice  Healing, MENTAL HEALTH AND  COUNSELING, , 844-544-4836, , Hearts-grief support services.  memorial services and workplace  counseling and support.
Chrysalis, MENTAL HEALTH AND  COUNSELING, 412 S. Palmetto Street  Daytona Beach. FL 32137, 386-254-2848, , Health – Flagler/Volusia  Outpatient mental health & substance  abuse counseling (in-home) for  individuals & families. ages 3 & up.  Targeted Case Management (TCM) for  individuals with diagnosed mental  health conditions. STARRT (Sexual  Trauma & Risk Reduction Treatment)  for children & teens with problematic  sexual behaviors. Medicaid accepted.
Epic Behavioral Healthcare, MENTAL HEALTH AND  COUNSELING, , 904-829-2273, , Mental health. substance abuse and  behavioral crisis prevention.   Counseling. intervention. and  medication management.  1400 Old Dixie Highway  St. Augustine. FL. 32084
, MENTAL HEALTH AND  COUNSELING, , 386-760-7533, , ESP (Empowerment Service  Providers) Case Management  Facilitates client access to social  services. employment opportunities.  mental health and counseling.  345 Beville Rd #106  South Daytona. FL 32119
Family Life Center, MENTAL HEALTH AND  COUNSELING, , 386-437-7747, , Outreach and counseling for victims of  domestic violence serving men. ladies.  children.   P.O. Box 2058. Bunnell. FL 32110  www.familylifecenterflagler.com        24 HR Hotline:  386-437-3505
Flagler County Veterans  Spouse Support Group, MENTAL HEALTH AND  COUNSELING, 4750 E. Moody Blvd  Bunnell. FL 32110, 386-366-6600, , Support group for spouses of veterans  suffering with PTSD.  Coastal Center Conference Room          386-313-1611
Flagler Mental, MENTAL HEALTH AND  COUNSELING, 2729 E. Moody Blvd. Ste 103  Bunnell. FL 32110, 386-313-1989, , Health Center.  PA  Psychiatric Evaluations; Medication  management. counseling for all ages.   Self-pay. insurance. Medicaid. Healthy  Kids.
Halifax Behavioral Services, MENTAL HEALTH AND  COUNSELING, 841 Jimmy Ann Drive  Daytona Beach. FL 32110, 386-425-3900, , Psychiatric services for adults with  emotional and behavioral problems.
, MENTAL HEALTH AND  COUNSELING, , 904-827-7404, , NAMI (National Alliance on  Mental Illness)  Support group for consumers and  family; peer support; whole health and  resiliency.  Free services.  Vince Carter Sanctuary  301 Justice Lane. Bunnell. FL 32110  http://www.namivfsj.org
, MENTAL HEALTH AND  COUNSELING, , 800-273-8255, , **National Suicide Prevention  Lifeline**  24/7 free and confidential support for  people in distress. Crisis prevention  and resources for you or your loved  ones.  1-
, MENTAL HEALTH AND  COUNSELING, 381 SW Palm Coast Parkway  Palm Coast. FL 32137, 386-214-4757, , Imani Sankoffa. PhD  Mental health counseling; domestic  violence & family crisis counseling.  Cash. money orders.
Precious Hearts Foundation  Inc., MENTAL HEALTH AND  COUNSELING, , , , Outreach and board certified  counseling for victims of domestic  violence and bullying.    P.O. Box 350441 Palm Coast. FL  32135  www.preciousheartsfoundation.org
